Player,Credits,Player Type,Player Name,Team,Matches Played,Runs,Balls Faced,Fours,Sixes,Dot Balls,25+ Scores,50+ Scores,75+ Scores,100+ Scores,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs,Batting Average,Strike Rate,Wickets,LBW/Bowled Wickets,Runs Conceded,Balls Bowled,Dot Balls Bowled,3+ Wickets,4+ Wickets,5+ Wickets,economy,Balls Bowled in Powerplay,Balls Bowled in Death Overs,Bowling Average,Bowling Strike Rate,Catches,Stumpings,Run-Outs,Catches per Match,Stumpings per Match,Run-Outs per Match,25+ runs per Match,50+ runs per Match,75+ runs per Match,100+ runs per Match,3+ wickets per Match,4+ wickets per Match,5+ wickets per Match,Chennai,Delhi,Mumbai,Kolkata,Bengaluru,Hyderabad,Ahmedabad,Jaipur,Mohali,Lucknow,Dharamsala,Guwahati,Indore,Visakhapatnam,Chennai_matches,Delhi_matches,Mumbai_matches,Kolkata_matches,Bengaluru_matches,Hyderabad_matches,Ahmedabad_matches,Jaipur_matches,Mohali_matches,Lucknow_matches,Dharamsala_matches,Guwahati_matches,Indore_matches,Visakhapatnam_matches,Chennai_avg_fantasy,Delhi_avg_fantasy,Mumbai_avg_fantasy,Kolkata_avg_fantasy,Bengaluru_avg_fantasy,Hyderabad_avg_fantasy,Ahmedabad_avg_fantasy,Jaipur_avg_fantasy,Mohali_avg_fantasy,Lucknow_avg_fantasy,Dharamsala_avg_fantasy,Guwahati_avg_fantasy,Indore_avg_fantasy,Visakhapatnam_avg_fantasy,Total fantasy points,Fantasy points per match,Total current fantasy points,Current Fantasy points per match
Manogaran Pooviarasan,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,22,4,0,0,0,10.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logesh Prabagaran,,,,,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,6,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premraj Rajavelu,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aanshul Gupta,,,,,2,34,37,1,1,12,1,0,0,0,10,24,0,17,91.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR Easwaran,,,,,3,104,93,13,1,39,1,1,0,0,42,58,4,34.67,111.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333,0.333,0.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,42,39,40,31.6,42.25,41,41.5,41,0,47.5,41,41,,
Sufiyan Alam,,,,,2,5,10,0,0,5,0,0,0,0,2,3,0,2.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikas Hathwala,,,,,2,5,10,0,0,5,0,0,0,0,1,4,0,2.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devender Lohchab,,,,,2,42,60,3,1,36,1,0,0,0,0,17,25,21,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YB Kothari,,,,,5,53,80,7,0,50,1,0,0,0,49,4,0,10.6,66.25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.6,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Garhwal,,,,,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manish Golamaru,,,,,5,15,18,0,1,8,0,0,0,0,0,14,1,3,83.33,5,1,118,120,45,0,0,0,5.9,24,0,23.6,24,1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,42,39,40,31.6,42.25,41,41.5,41,0,47.5,50,50,,
AR Lamba,,,,,1,2,4,0,0,2,0,0,0,0,0,0,2,2,50,0,0,42,19,2,0,0,0,13.26,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS Akhil,,,,,4,9,4,2,0,1,0,0,0,0,0,0,9,2.25,225,3,1,75,49,8,0,0,0,9.18,0,12,25,16.33,3,0,0,0.75,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rishav Das,,,,,7,151,144,13,2,52,3,0,0,0,61,82,8,21.57,104.86,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.286,0,0,0.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,42,39,40,31.6,42.25,41,41.5,41,0,47.5,161,53.67,,
Rishav,,,,,1,1,5,0,0,4,0,0,0,0,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shekhar Kumar Singh,,,,,1,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harsh Vikram Singh,,,,,5,9,16,1,0,10,0,0,0,0,0,0,9,1.8,56.25,3,2,110,80,22,0,0,0,8.25,31,18,36.67,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shashi Anand,,,,,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,4,1,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K D Patel,,,,,10,9,5,2,0,2,0,0,0,0,0,0,9,0.9,180,9,3,356,241,58,0,0,0,8.86,99,84,39.56,26.78,1,0,2,0.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,42,39,40,31.6,42.25,41,41.5,41,0,47.5,89,44.5,,
Gaurav Puri,,,,,2,36,18,4,2,5,1,0,0,0,0,28,8,18,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khawlhring Lalremruata,,,,,1,10,17,0,0,7,0,0,0,0,0,2,8,10,58.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rinsangzela Hmamte,,,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,100,86,19,0,0,0,6.98,6,6,33.33,28.67,0,0,1,0,0,0.2,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karkir Taye,,,,,1,7,5,1,0,2,0,0,0,0,0,7,0,7,140,0,0,35,18,4,0,0,0,11.67,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yab Niya,,,,,4,8,28,0,0,21,0,0,0,0,0,4,4,2,28.57,1,1,120,77,29,0,0,0,9.35,64,6,120,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,42,39,40,31.6,42.25,41,41.5,41,0,47.5,19,9.5,,
T Tatar,,,,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vijay Rao,,,,,2,3,5,0,0,3,0,0,0,0,0,3,0,1.5,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nzanthung Mozhui,,,,,2,5,19,0,0,15,0,0,0,0,5,0,0,2.5,26.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Tacho,,,,,2,50,54,3,1,25,1,0,0,0,40,10,0,25,92.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himan Phukan,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,37,43,17,0,0,0,5.16,12,6,37,43,1,0,0,0.5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saurabh Das,,,,,2,17,8,0,2,2,0,0,0,0,0,0,17,8.5,212.5,0,0,42,37,12,0,0,0,6.81,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somorjit Salam,,,,,1,1,5,0,0,4,0,0,0,0,0,0,1,1,20,0,0,35,20,7,0,0,0,10.5,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kishan Thokchom,,,,,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,60,20,2,0,0,0,18,6,14,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SB Dubey,5.5,BAT,Shubham Dubey,RR,21,363,257,24,20,81,6,0,0,0,14,171,178,17.29,141.25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.143,0,0.048,0.286,0,0,0,0,0,0,4,59,16,49,107,70,5,59,0,0,0,17,0,0,1,1,1,1,2,1,1,3,1,1,1,1,1,1,4,59,16,49,53.5,70,5,19.67,42.25,41,41.5,17,0,47.5,386,32.17,226,28.25
Chongtham Mehul,,,,,1,1,3,0,0,2,0,0,0,0,0,1,0,1,33.33,0,0,35,12,1,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddhesh Neral,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,21,12,0,0,0,3.71,14,0,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS Thakare,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,17,21,13,0,0,0,4.86,12,3,8.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanatombaroy Laiphangbam,,,,,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashith Rajiv,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,27,10,0,0,0,7.78,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pratik Das,,,,,1,14,23,0,0,10,0,0,0,0,0,14,0,14,60.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prayas Singh,,,,,1,4,8,0,0,4,0,0,0,0,0,0,4,4,50,0,0,10,6,1,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harshit Rathod,,,,,1,1,2,0,0,1,0,0,0,0,0,0,1,1,50,1,0,24,25,9,0,0,0,5.76,6,0,24,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rajesh Mohanty,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,24,12,0,0,0,6.75,18,6,27,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Shiva,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,3,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snehal Kauthankar,,,,,3,54,57,6,0,26,0,0,0,0,30,24,0,18,94.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishan Alang,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,13,1,0,0,0,11.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinta Gandhi,,,,,5,10,12,0,0,4,0,0,0,0,0,0,10,2,83.33,2,2,116,97,35,0,0,0,7.18,24,18,58,48.5,1,0,0,0.2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS Sharma,,,,,7,119,94,7,5,29,2,0,0,0,0,71,48,17,126.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.571,0,0,0.286,0,0,0,0,0,0,0,0,0,0,116,0,0,90,0,0,0,0,0,0,1,1,1,1,2,1,1,2,1,1,1,1,1,1,42,43.5,36.75,38,58,39,40,45,42.25,41,41.5,41,0,47.5,233,38.83,,
Hardik Tamore,,,,,7,5,8,0,0,3,0,0,0,0,0,5,0,0.71,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0.714,0.143,0.429,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,11.33,39,40,31.6,42.25,41,41.5,41,0,47.5,34,11.33,,
PH Solanki,,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,109,78,25,0,0,0,8.38,18,18,27.25,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sujit Yadav,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,7,0,0,0,6.48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKS Bains,,,,,7,103,103,13,1,48,2,0,0,0,78,25,0,14.71,100,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.714,0.143,0,0.286,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raghav Dhawan,,,,,2,122,98,11,3,34,0,2,0,0,6,71,45,61,124.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N A Sharma,,,,,4,4,9,0,0,5,0,0,0,0,0,0,4,1,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.75,0,0.25,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitesh Hooda,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF Khan,,,,,4,84,72,6,2,22,2,0,0,0,25,33,26,21,116.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0,0.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiva Chauhan,,,,,1,6,3,1,0,0,0,0,0,0,0,0,6,6,200,0,0,17,12,3,0,0,0,8.5,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohit Jain,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,15,24,13,0,1,0,3.75,6,6,3.75,6,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jatin Wadhwan,,,,,1,45,42,5,0,14,1,0,0,0,19,26,0,45,107.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikash Singh,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,2,0,0,0,10,6,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ram Dayal,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,25,12,0,0,0,6.72,19,6,14,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waseem Raza,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,14,1,0,0,0,10.71,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irfan-ul-Haq,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,18,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tejas Patel,,,,,3,2,2,0,0,0,0,0,0,0,0,0,2,0.67,100,3,1,96,68,25,1,0,0,8.47,25,25,32,22.67,0,0,1,0,0,0.333,0,0,0,0,0.333,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anunay Singh,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,26,5,0,0,0,9.69,19,1,42,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saransh Jain,,,,,4,15,20,0,0,6,0,0,0,0,0,6,9,3.75,75,3,1,73,87,32,0,0,0,5.03,12,0,24.33,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,42,39,40,31.6,42.25,41,41.5,41,0,47.5,144,48,,
Abdul Basith,,,,,4,67,52,5,3,17,0,1,0,0,0,33,34,16.75,128.85,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,42,39,40,31.6,42.25,41,41.5,41,0,47.5,98,98,,
Akash Sengupta,,,,,4,5,7,0,0,3,0,0,0,0,0,0,5,1.25,71.43,8,1,114,83,25,2,0,0,8.24,32,26,14.25,10.38,1,0,0,0.25,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,42,39,40,31.6,42.25,41,41.5,41,0,47.5,327,109,,
Mohammad Saif,,,,,5,53,70,5,0,37,1,0,0,0,23,30,0,10.6,75.71,1,1,24,25,11,0,0,0,5.76,12,0,24,25,1,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,42,39,40,31.6,42.25,41,41.5,41,0,47.5,4,4,,
Amit Kuila,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,12,6,0,0,0,4.5,12,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Saikia,,,,,1,21,14,2,1,4,0,0,0,0,0,0,21,21,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanush Gusain,,,,,1,7,10,1,0,6,0,0,0,0,7,0,0,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S Arora,,,,,1,68,47,8,3,20,0,1,0,0,8,44,16,68,144.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuvraj Chaudhary,5,ALL,Yuvraj Chaudhary,LSG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,24,12,0,0,0,6.5,0,6,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DR Shorey,,,,,1,33,35,2,0,11,1,0,0,0,14,19,0,33,94.29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sameer Choudhary,,,,,2,10,14,0,0,5,0,0,0,0,0,5,5,5,71.43,1,1,33,24,6,0,0,0,8.25,24,0,33,24,1,0,2,0.5,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yash Dayal,7,BOWL,Yash Dayal,RCB,47,0,2,0,0,2,0,0,0,0,0,0,0,0,0,45,9,1484,1007,353,2,0,0,8.84,526,253,32.98,22.38,6,0,2,0.128,0,0.043,0,0,0,0,0.043,0,0,114,34,80,106,480,34,8,76,4,0,4,0,0,0,2,1,1,2,12,1,2,2,1,1,1,1,1,1,57,34,80,53,40,34,4,38,4,41,4,41,0,47.5,1363,45.43,451,41
Nalin Mishra,,,,,1,15,20,2,0,11,0,0,0,0,15,0,0,15,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aryan Juyal,5.5,WK,Aryan Juyal,LSG,4,42,46,5,1,24,0,0,0,0,42,0,0,10.5,91.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,42,43.5,36.75,38,27,39,40,31.6,42.25,41,41.5,41,0,47.5,27,27,,
E Sanketh,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,1,0,0,0,8.31,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manik Beri,,,,,1,17,18,1,1,9,0,0,0,0,5,12,0,17,94.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trishank Gupta,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,25,8,0,0,0,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB Ghosh,,,,,2,12,12,2,0,6,0,0,0,0,6,6,0,6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SM Singha,,,,,1,31,26,3,1,12,1,0,0,0,24,7,0,31,119.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonny Chingangbam,,,,,1,1,9,0,0,8,0,0,0,0,1,0,0,1,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B Lalnunfela,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
